date,close
7/9/2014,17.43
7/8/2014,17.11
7/7/2014,17.32
7/3/2014,17.32
7/2/2014,17.22
7/1/2014,17.21
6/30/2014,17.24
6/27/2014,17.28
6/26/2014,17.2
6/25/2014,17.2
6/24/2014,16.97
6/23/2014,16.88
6/20/2014,16.67
6/19/2014,16.78
6/18/2014,16.83
6/17/2014,16.79
6/16/2014,16.63
6/13/2014,16.56
6/12/2014,16.52
6/11/2014,16.9
6/10/2014,17.01
6/9/2014,17
6/6/2014,17.08
6/5/2014,16.68
6/4/2014,16.79
6/3/2014,16.55
6/2/2014,16.44
5/30/2014,16.44
5/29/2014,16.54
5/28/2014,16.31
5/27/2014,16.16
5/23/2014,16.02
5/22/2014,15.91
5/21/2014,15.91
5/20/2014,15.77
5/19/2014,15.92
5/16/2014,15.76
5/15/2014,15.69
5/14/2014,15.75
5/13/2014,15.86
5/12/2014,15.84
5/9/2014,15.77
5/8/2014,15.81
5/7/2014,15.46
5/6/2014,15.56
5/5/2014,15.74
5/2/2014,15.9
5/1/2014,15.91
4/30/2014,16.15
4/29/2014,16.12
4/28/2014,15.97
4/25/2014,15.78
4/24/2014,16.32
4/23/2014,16.23
4/22/2014,16.1
4/21/2014,15.98
4/17/2014,16
4/16/2014,16.07
4/15/2014,15.84
4/14/2014,15.7
4/11/2014,15.63
4/10/2014,15.63
4/9/2014,15.84
4/8/2014,16.1
4/7/2014,15.94
4/4/2014,16.13
4/3/2014,16.39
4/2/2014,16.46
4/1/2014,16.32
3/31/2014,15.6
3/28/2014,15.45
3/27/2014,15.25
3/26/2014,15.25
3/25/2014,15.33
3/24/2014,15.39
3/21/2014,15.47
3/20/2014,15.55
3/19/2014,15.48
3/18/2014,15.49
3/17/2014,15.28
3/14/2014,15.08
3/13/2014,15.18
3/12/2014,15.4
3/11/2014,15.3
3/10/2014,15.51
3/7/2014,15.62
3/6/2014,15.67
3/5/2014,15.63
3/4/2014,15.37
3/3/2014,15.2
2/28/2014,15.39
2/27/2014,15.39
2/26/2014,15.26
2/25/2014,15.15
2/24/2014,15.18
2/21/2014,15.16
2/20/2014,15.27
2/19/2014,15.25
2/18/2014,15.39
2/14/2014,15.24
2/13/2014,15.08
2/12/2014,15
2/11/2014,14.96
2/10/2014,14.84
2/7/2014,14.97
2/6/2014,14.85
2/5/2014,14.73
2/4/2014,14.87
2/3/2014,14.55
1/31/2014,14.96
1/30/2014,15.25
1/29/2014,15.26
1/28/2014,15.72
1/27/2014,15.71
1/24/2014,15.83
1/23/2014,16.43
1/22/2014,16.55
1/21/2014,16.41
1/17/2014,16.52
1/16/2014,16.73
1/15/2014,16.7
1/14/2014,16.4
1/13/2014,16.11
1/10/2014,16.07
1/9/2014,15.84
1/8/2014,15.54
1/7/2014,15.38
1/6/2014,15.58
1/3/2014,15.51
1/2/2014,15.44
12/31/2013,15.43
12/30/2013,15.28
12/27/2013,15.3
12/26/2013,15.33
12/24/2013,15.19
12/23/2013,15.15
12/20/2013,15.42
12/19/2013,15.3
12/18/2013,15.65
12/17/2013,16.7
12/16/2013,16.86
12/13/2013,16.59
12/12/2013,16.39
12/11/2013,16.41
12/10/2013,16.53
12/9/2013,16.56
12/6/2013,16.7
12/5/2013,16.74
12/4/2013,16.62
12/3/2013,16.56
12/2/2013,17.06
11/29/2013,17.08
11/27/2013,17.03
11/26/2013,16.87
11/25/2013,16.94
11/22/2013,17.01
11/21/2013,17.09
11/20/2013,16.92
11/19/2013,16.87
11/18/2013,16.98
11/15/2013,17.07
11/14/2013,17.09
11/13/2013,17.1
11/12/2013,16.72
11/11/2013,16.89
11/8/2013,16.85
11/7/2013,16.55
11/6/2013,16.91
11/5/2013,17.09
11/4/2013,17
11/1/2013,16.89
10/31/2013,17.11
10/30/2013,17.34
10/29/2013,17.61
10/28/2013,17.57
10/25/2013,17.6
10/24/2013,17.76
10/23/2013,17.52
10/22/2013,17.6
10/21/2013,17.5
10/18/2013,17.53
10/17/2013,17.46
10/16/2013,17.29
10/15/2013,16.97
10/14/2013,17.18
10/11/2013,17.11
10/10/2013,16.93
10/9/2013,16.62
10/8/2013,16.5
10/7/2013,16.81
10/4/2013,17.09
10/3/2013,16.95
10/2/2013,17.21
10/1/2013,17.19
9/30/2013,16.87
9/27/2013,17.05
9/26/2013,17.27
9/25/2013,17.19
9/24/2013,17.26
9/23/2013,17.2
9/20/2013,17.39
9/19/2013,17.66
9/18/2013,17.625
9/17/2013,17.44
9/16/2013,17.35
9/13/2013,17.35
9/12/2013,17.39
9/11/2013,17.54
9/10/2013,17.55
9/9/2013,17.31
9/6/2013,17
9/5/2013,17.3
9/4/2013,16.91
9/3/2013,16.34
8/30/2013,16.19
8/29/2013,16.5
8/28/2013,16.02
8/27/2013,15.88
8/26/2013,16.41
8/23/2013,16.45
8/22/2013,16.41
8/21/2013,16.25
8/20/2013,16.31
8/19/2013,16.12
8/16/2013,16.3
8/15/2013,16.43
8/14/2013,16.89
8/13/2013,17.06
8/12/2013,17.07
8/9/2013,17.02
8/8/2013,16.98
8/7/2013,16.77
8/6/2013,17.03
8/5/2013,17.19
8/2/2013,17.5
8/1/2013,17.19
7/31/2013,16.88
7/30/2013,17.08
7/29/2013,17.08
7/26/2013,17.02
7/25/2013,16.96
7/24/2013,17.37
7/23/2013,16.94
7/22/2013,17.04
7/19/2013,16.76
7/18/2013,16.93
7/17/2013,16.78
7/16/2013,16.6
7/15/2013,17.12
7/12/2013,17.11
7/11/2013,16.98
7/10/2013,16.72
7/9/2013,16.84
7/8/2013,16.81
7/5/2013,16.7
7/3/2013,16.43
7/2/2013,16.18
7/1/2013,15.74
6/28/2013,15.47
6/27/2013,15.65
6/26/2013,15.29
6/25/2013,14.97
6/24/2013,14.67
6/21/2013,15
6/20/2013,14.82
6/19/2013,15.32
6/18/2013,15.65
6/17/2013,15.55
6/14/2013,15.37
6/13/2013,15.58
6/12/2013,15.37
6/11/2013,15.51
6/10/2013,15.71
6/7/2013,15.73
6/6/2013,15.44
6/5/2013,15.25
6/4/2013,15.78
6/3/2013,15.89
5/31/2013,15.68
5/30/2013,15.9
5/29/2013,15.63
5/28/2013,15.28
5/24/2013,14.79
5/23/2013,14.81
5/22/2013,14.97
5/21/2013,14.95
5/20/2013,15.05
5/17/2013,15.08
5/16/2013,14.64
5/15/2013,14.67
5/14/2013,14.27
5/13/2013,14.01
5/10/2013,14.11
5/9/2013,14.2
5/8/2013,14.21
5/7/2013,14.19
5/6/2013,14.09
5/3/2013,13.83
5/2/2013,13.41
5/1/2013,13.38
4/30/2013,13.71
4/29/2013,13.66
4/26/2013,13.67
4/25/2013,13.47
4/24/2013,13.33
4/23/2013,13.36
4/22/2013,13.06
4/19/2013,12.93
4/18/2013,12.75
4/17/2013,12.925
4/16/2013,13.12
4/15/2013,12.95
4/12/2013,13.53
4/11/2013,13.55
4/10/2013,13.12
4/9/2013,12.8
4/8/2013,12.78
4/5/2013,12.44
4/4/2013,12.65
4/3/2013,12.68
4/2/2013,13.01
4/1/2013,12.9
3/28/2013,13.15
3/27/2013,13.22
3/26/2013,13.31
3/25/2013,13.29
3/22/2013,13.26
3/21/2013,13.26
3/20/2013,13.36
3/19/2013,13.16
3/18/2013,13.26
3/15/2013,13.45
3/14/2013,13.43
3/13/2013,13.4
3/12/2013,13.39
3/11/2013,13.34
3/8/2013,12.98
3/7/2013,12.83
3/6/2013,12.89
3/5/2013,12.87
3/4/2013,12.75
3/1/2013,12.61
2/28/2013,12.61
2/27/2013,12.76
2/26/2013,12.34
2/25/2013,12.13
2/22/2013,12.48
2/21/2013,12.39
2/20/2013,12.6
2/19/2013,12.99
2/15/2013,13.02
2/14/2013,13.11
2/13/2013,13.04
2/12/2013,13.08
2/11/2013,13.11
2/8/2013,13.1
2/7/2013,13.07
2/6/2013,13.2
2/5/2013,13.18
2/4/2013,12.88
2/1/2013,13.02
1/31/2013,12.95
1/30/2013,12.93
1/29/2013,13.14
1/28/2013,13.78
1/25/2013,13.68
1/24/2013,13.87
1/23/2013,13.88
1/22/2013,14.17
1/18/2013,14.11
1/17/2013,14.22
1/16/2013,14.22
1/15/2013,14.3
1/14/2013,13.99
1/11/2013,14
1/10/2013,13.83
1/9/2013,13.47
1/8/2013,13.35
1/7/2013,13.43
1/4/2013,13.57
1/3/2013,13.46
1/2/2013,13.2
12/31/2012,12.95
12/28/2012,12.87
12/27/2012,12.76
12/26/2012,12.79
12/24/2012,12.4
12/21/2012,11.86
12/20/2012,11.77
12/19/2012,11.73
12/18/2012,11.67
12/17/2012,11.39
12/14/2012,11.1
12/13/2012,11.27
12/12/2012,11.47
12/11/2012,11.49
12/10/2012,11.47
12/7/2012,11.48
12/6/2012,11.24
12/5/2012,11.31
12/4/2012,11.31
12/3/2012,11.41
11/30/2012,11.45
11/29/2012,11.53
11/28/2012,11.25
11/27/2012,11.1
11/26/2012,11.105
11/23/2012,11.1
11/21/2012,10.92
11/20/2012,10.85
11/19/2012,10.83
11/16/2012,10.5
11/15/2012,10.57
11/14/2012,10.67
11/13/2012,11
11/12/2012,10.97
11/9/2012,10.93
11/8/2012,10.9
11/7/2012,11.06
11/6/2012,11.42
11/5/2012,11.25
11/2/2012,11.17
11/1/2012,11.25
10/31/2012,11.16
10/26/2012,10.36
10/25/2012,10.39
10/24/2012,10.17
10/23/2012,10
10/22/2012,10.17
10/19/2012,10.1799
10/18/2012,10.43
10/17/2012,10.41
10/16/2012,10.3
10/15/2012,10.22
10/12/2012,10.12
10/11/2012,10.14
10/10/2012,9.98
10/9/2012,10.1
10/8/2012,10.05
10/5/2012,10.16
10/4/2012,10.11
10/3/2012,9.94
10/2/2012,9.79
10/1/2012,9.93
9/28/2012,9.86
9/27/2012,10.02
9/26/2012,10.01
9/25/2012,10.09
9/24/2012,10.32
9/21/2012,10.4
9/20/2012,10.44
9/19/2012,10.59
9/18/2012,10.42
9/17/2012,10.39
9/14/2012,10.53
9/13/2012,10.34
9/12/2012,10.21
9/11/2012,10.15
9/10/2012,10.11
9/7/2012,10.14
